market,rows_2h,period,type,status
sp,65065,fg,sp,mapped
tot,58773,fg,tot,mapped
ml,51401,fg,ml,mapped
prop,10048,fg,,not-a-game-market (player/special prop row)
team_points_ou,5200,fg,tt,mapped
1h_sp,5169,1h,sp,mapped
1h_tot,5148,1h,tot,mapped
1h_ml,5087,1h,ml,mapped
1h_h2h_3way,5035,1h,ml3,mapped
tt_away,4770,fg,tt_away,mapped
tt_home,4662,fg,tt_home,mapped
1q_sp,3923,1q,sp,mapped
1q_tot,3918,1q,tot,mapped
1q_ml,3854,1q,ml,mapped
1h_totals,3322,1h,tot,mapped
1h_spreads,2755,1h,sp,mapped
1h_h2h,2580,1h,ml,mapped
h2h_3way,2447,fg,ml3,mapped
3q_ml,2333,3q,ml,mapped
4q_ml,2272,4q,ml,mapped
2q_ml,2264,2q,ml,mapped
3q_tot,2249,3q,tot,mapped
4q_sp,2235,4q,sp,mapped
4q_tot,2232,4q,tot,mapped
2q_tot,2230,2q,tot,mapped
1h_tt_home,2100,1h,tt_home,mapped
1h_tt_away,2053,1h,tt_away,mapped
1h_team_points_ou,1947,1h,tt,mapped
total_points_odd_even,1914,fg,odd_even,mapped
total_points_eo,1804,fg,odd_even,mapped
1q_spreads,1554,1q,sp,mapped
1q_h2h,1400,1q,ml,mapped
1h_points_eo,1367,1h,odd_even,mapped
1q_tt_away,1238,1q,tt_away,mapped
1q_tt_home,1213,1q,tt_home,mapped
2h_sp,1213,2h,sp,mapped
2h_ml,1211,2h,ml,mapped
2h_tot,1208,2h,tot,mapped
3q_sp,1078,3q,sp,mapped
2q_sp,1055,2q,sp,mapped
1h_touchdowns_ou,1047,1h,tds_ou,mapped
2h_h2h_3way,1034,2h,ml3,mapped
overtime_yes_no,1008,fg,overtime_yn,mapped
1q_totals,1003,1q,tot,mapped
1ix5_totals,924,f5,tot,mapped
2h_totals,924,2h,tot,mapped
1ix5_spreads,908,f5,sp,mapped
p1_sp,878,p1,sp,mapped
1ix5_h2h,864,f5,ml,mapped
2h_team_points_ou,730,2h,tt,mapped
1i_totals,703,i1,tot,mapped
2h_h2h,663,2h,ml,mapped
2h_tt_away,648,2h,tt_away,mapped
2h_tt_home,636,2h,tt_home,mapped
1i_h2h_3way,618,i1,ml3,mapped
team_touchdowns_ou,589,fg,team_tds_ou,mapped
f5_ml,577,f5,ml,mapped
bothteamsscored_yn,564,fg,btts,mapped
2q_h2h,556,2q,ml,mapped
1q_team_points_ou,552,1q,tt,mapped
1ix3_h2h_3way,551,f3,ml3,mapped
1i_points_yn,543,i1,score_yn,mapped
3q_h2h,542,3q,ml,mapped
3q_spreads,533,3q,sp,mapped
2h_spreads,513,2h,sp,mapped
1ix5_h2h_3way,505,f5,ml3,mapped
4q_h2h,498,4q,ml,mapped
1q_points_eo,489,1q,odd_even,mapped
f5_tot,481,f5,tot,mapped
1h_bothteamsscored_yn,447,1h,btts,mapped
2q_spreads,444,2q,sp,mapped
4q_spreads,443,4q,sp,mapped
team_points_eo,441,fg,team_odd_even,mapped
points_yn_away,438,fg,score_yn_away,mapped
1ix3_spreads,419,f3,sp,mapped
1ix3_h2h,416,f3,ml,mapped
1ix3_totals,415,f3,tot,mapped
points_yn,410,fg,score_yn,mapped
