source,label,rows_today,key,rule,status
comparenbet,player_touchdowns,1727034,anytime-td,manual,mapped
comparenbet,player_reception_yds,783095,receiving-yards,manual,mapped
comparenbet,player_rush_yds,459618,rushing-yards,manual,mapped
comparenbet,player_pass_yds,297667,passing-yards,manual,mapped
comparenbet,player_receiving_longestReception,231143,longest-reception,manual,mapped
comparenbet,player_shots_on_target,212220,shots-on-target,manual,mapped
comparenbet,player_receptions,168400,receptions,app-alias,mapped
comparenbet,player_points,153482,points,app-alias,mapped
comparenbet,player_passing+rushing_yards,110384,pass-rush-yards,manual,mapped
comparenbet,player_pass_tds,82320,passing-tds,manual,mapped
comparenbet,player_rushing+receiving_yards,82201,rush-rec-yards,manual,mapped
comparenbet,player_pass_completions,74341,passing-completions,manual,mapped
comparenbet,player_rush_attempts,71065,rushing-attempts,manual,mapped
comparenbet,player_pass_attempts,51930,pass-attempts,app-alias,mapped
comparenbet,player_pass_interceptions,41471,interceptions-thrown,manual,mapped
comparenbet,player_rushing_longestRush,40389,longest-rush,manual,mapped
comparenbet,player_shots,37830,shots,manual,mapped
comparenbet,player_passing_longestCompletion,27193,longest-completion,manual,mapped
comparenbet,player_pitching_hits,14405,pitcher-hits-allowed,manual,mapped
comparenbet,player_tackles_assists,12186,tackles-assists,manual,mapped
comparenbet,player_kicking_totalPoints,11478,kicking-points,manual,mapped
comparenbet,player_kicking_points,10116,kicking-points,manual,mapped
comparenbet,player_assists,9012,assists,app-alias,mapped
comparenbet,player_fieldGoals_made,6488,field-goals-made,manual,mapped
comparenbet,player_pitching_basesOnBalls,6350,pitcher-walks-allowed,manual,mapped
comparenbet,player_defense_sacks,5919,sacks,manual,mapped
comparenbet,player_defense_assistedTackles,3370,assists,manual,mapped
betrivers,Receiving Yards,1610,receiving-yards,manual,mapped
steezanomics,Anytime TD,1476,anytime-td,manual,mapped
comparenbet,player_defense_interceptions,1309,defensive-interceptions,manual,mapped
betmgm,Touchdown,1242,anytime-td,manual,mapped
4codds,TOTAL BASES,1202,total-bases,manual,mapped
kalshi,hits_runs_rbis,1174,hits-runs-rbis,app-alias,mapped
betrivers,"Hits, Runs & RBIs",1108,hits-runs-rbis,manual,mapped
underdog,Rush + Rec TDs,1026,rush-rec-tds,app-alias,mapped
kalshi,receiving_yards,984,receiving-yards,manual,mapped
betrivers,Receptions,974,receptions,app-alias,mapped
fanduel,hits_runs_rbis,968,hits-runs-rbis,app-alias,mapped
fanduel,total_bases,968,total-bases,manual,mapped
fanduel,hits,961,pitcher-hits-allowed|hits,position,position
comparenbet,player_defense_soloTackles,916,solo-tackles,manual,mapped
kalshi,total_bases,916,total-bases,manual,mapped
comparenbet,player_total_saves,911,saves,manual,mapped
underdog,Kills on Maps 1+2,853,,no-app-sport,no-app-sport
betrivers,Hits,824,pitcher-hits-allowed|hits,position,position
kalshi,receptions,824,receptions,app-alias,mapped
betrivers,Rushing Yards,804,rushing-yards,app-alias,mapped
fanduel,rbis,797,rbis,app-alias,mapped
underdog,Receiving Yards,765,receiving-yards,manual,mapped
betmgm,ReceivingYards,764,receiving-yards,manual,mapped
kalshi,hits,759,pitcher-hits-allowed|hits,position,position
betrivers,Touchdown To Be,743,anytime-td,manual,mapped
betrivers,Touchdowns,725,anytime-td,app-alias,mapped
sleeper,anytime_touchdowns,706,anytime-td,manual,mapped
betrivers,RBIs,672,rbis,app-alias,mapped
underdog,Longest Reception,661,longest-reception,manual,mapped
sleeper,receiving_yards,638,receiving-yards,manual,mapped
betrivers,Total Bases,635,total-bases,manual,mapped
kalshi,touchdowns,624,anytime-td,app-alias,mapped
underdog,First TD Scorer,591,first-td-scorer,app-alias,mapped
fanduel,runs,588,runs,app-alias,mapped
underdog,Headshots on Maps 1+2,578,,no-app-sport,no-app-sport
betrivers,Passing Yards,532,passing-yards,app-alias,mapped
kalshi,rbis,507,rbis,app-alias,mapped
kalshi,rushing_yards,505,rushing-yards,app-alias,mapped
steezanomics,Receiving Yards,493,receiving-yards,manual,mapped
fanduel,home_runs,487,home-runs,app-alias,mapped
comparenbet,player_goals+assists,466,goals-assists,manual,mapped
draftkings,Receiving Yards,453,receiving-yards,manual,mapped
betrivers,Home Runs,448,home-runs,app-alias,mapped
kalshi,home_runs,445,home-runs,app-alias,mapped
betrivers,Runs,407,runs,app-alias,mapped
underdog,Receptions,394,receptions,app-alias,mapped
underdog,Rush Yards,382,rushing-yards,app-alias,mapped
fanduel,Receiving Yds,376,receiving-yards,manual,mapped
underdog,1H Receiving Yards,374,1h-receiving-yards,period+manual,mapped
4codds,TOTAL HOME RUNS,373,home-runs,manual,mapped
underdog,1H Receptions,369,1h-receptions,period+app-alias,mapped
betmgm,RushingYards,363,rushing-yards,manual,mapped
draftkings,Hits + Runs + RBIs,360,hits-runs-rbis,app-alias,mapped
underdog,1Q Receptions,356,1q-receptions,period+app-alias,mapped
underdog,1H Rush Yards,354,1h-rushing-yards,period+app-alias,mapped
underdog,Fantasy Points,352,fantasy-points,manual,mapped
